op,variant,N,time_ms,bw_gb_s
relu,eager,16384,0.033983999863266945,3.8568738384934718
relu,compile,16384,0.029439999721944332,4.452173955093485
relu,custom,16384,0.01071999967098236,12.226866046908079
relu,eager,65536,0.009488000068813562,55.2580097172744
relu,compile,65536,0.03049599938094616,17.192025532620324
relu,custom,65536,0.008704000152647495,60.23529306126303
relu,eager,262144,0.008895999751985073,235.7410137665569
relu,compile,262144,0.03364800103008747,62.32619875768437
relu,custom,262144,0.010160000063478947,206.41259713554584
relu,eager,1048576,0.014607999939471483,574.2475379763384
relu,compile,1048576,0.03155199997127056,265.8661260027315
relu,custom,1048576,0.012784000020474195,656.1802242306976
relu,eager,4194304,0.025407999753952026,1320.6246979273076
relu,compile,4194304,0.04427199997007847,757.91543238792
relu,custom,4194304,0.023824000731110573,1408.4297754483755
bias_gelu,eager,16384,0.011008000001311302,12.279069765979145
bias_gelu,compile,16384,0.036687999963760376,3.6842564362602506
bias_gelu,custom,16384,0.009231999982148409,14.641247861933445
bias_gelu,eager,65536,0.025535999797284603,20.69172948756783
bias_gelu,compile,65536,0.03524800017476082,14.990467469934568
bias_gelu,custom,65536,0.01584000000730157,33.35757574219933
bias_gelu,eager,262144,0.015279999934136868,137.5162309592441
bias_gelu,compile,262144,0.025391999632120132,82.75236414787841
bias_gelu,custom,262144,0.009135999716818333,229.9965045020571
bias_gelu,eager,1048576,0.025791999883949757,325.39950518620856
bias_gelu,compile,1048576,0.03001599945127964,279.6076810176715
bias_gelu,custom,1048576,0.01718399953097105,488.4022479675741
bias_gelu,eager,4194304,0.16364799439907074,205.06531792968042
bias_gelu,compile,4194304,0.05313600040972233,631.5591640551812
bias_gelu,custom,4194304,0.046752000227570534,717.7987644731809
add_layernorm,eager,16384,0.015936000272631645,12.851405402629279
add_layernorm,compile,16384,0.025247999466955662,8.111533758072209
add_layernorm,custom,16384,0.009759999811649323,20.98360696232342
add_layernorm,eager,65536,0.013791999779641628,57.614850108462484
add_layernorm,compile,65536,0.027408000081777573,28.992410888392843
add_layernorm,custom,65536,0.013280000071972609,59.83614425402384
add_layernorm,eager,262144,0.0375520009547472,83.98806774106912
add_layernorm,compile,262144,0.025167999789118767,125.3146863646899
add_layernorm,custom,262144,0.025776000693440437,122.3587800726053
add_layernorm,eager,1048576,0.028800000436604023,437.19110448335437
add_layernorm,compile,1048576,0.03009600006043911,418.36469878769304
add_layernorm,custom,1048576,0.07790399715304375,161.62333718595414
add_layernorm,eager,4194304,0.2152480036020279,233.86902158253392
add_layernorm,compile,4194304,0.1873439997434616,268.70270768710265
add_layernorm,custom,4194304,0.2863519936800003,175.79706483990822
